courseName	sourceName
서해랑길 64-4(지선4코스)	서산유기방가옥
서해랑길 64-6(지선6코스)	합덕재래시장
서해랑길 65코스	청포대해변
서해랑길 65코스	달산포해변
남파랑길 66코스	남해 다도해 풍경이 아름다운 우미산 정상
남파랑길 66코스	해안절벽로
남파랑길 66코스	고흥군
서해랑길 66코스	안흥석성
서해랑길 66코스	국립태안해양유물전시관
서해랑길 66코스	마도
남파랑길 67코스	영남 만리성
남파랑길 69코스	철쭉동산
남파랑길 69코스	한국의 아름다운 숲으로 선정된 천연기념물 제239호인 금탑사 비자림과 금탑사
서해랑길 69코스	의항해변
남파랑길 7코스	수치마을 해안로
서해랑길 7코스	죽제산산림욕장
해파랑길 7코스	도심 친수공간 태화강대공원
남파랑길 70코스	해안도로를 따라 아름다운 남해 경관을 보며 걸을 수 있음
서해랑길 70코스	장길산
서해랑길 70코스	용의눈물
서해랑길 70코스	구례포해변
서해랑길 71코스	학암포해변
서해랑길 71코스	볏가리체험마을
서해랑길 71코스	사목해변
서해랑길 72코스	꾸지나무골해변
서해랑길 72코스	여섬(꽤갈섬)
남파랑길 74코스	내로마을, 외로마을, 도야마을
남파랑길 74코스	풍경
서해랑길 74코스	밤섬해수욕장
서해랑길 75코스	시우치 저수지
남파랑길 76코스	장선해변
남파랑길 76코스	득량만생태공원
서해랑길 77코스	서산창착예술촌
남파랑길 78코스	한승원 문학산책길
남파랑길 79코스	사금어촌체험마을
남파랑길 8코스	장복산 편백숲쉼터
해파랑길 8코스	울산만 밖
서해랑길 81코스	석문호
남파랑길 82코스	강진만 양안을 연결하는 가우도 출렁다리
남파랑길 82코스	약 1km 길이로 청자타워
남파랑길 82코스	옹기마을
남파랑길 83코스	철새도래지
서해랑길 83코스	삽교호짚트랙
서해랑길 83코스	해양테마과학관
남파랑길 84코스	사초해안도로
남파랑길 84코스	신전면 해안관광로 전망데크
서해랑길 84코스	아산만방조제
남파랑길 85코스	다도해의 푸른 바다를 바라보며 바닷가 근처
남파랑길 86코스	남창5일장
남파랑길 86코스	해조류센터 주변 등대와 활어회센터
서해랑길 87코스	매항리마을
남파랑길 88코스	역사드라마 촬영의 메카 해신 드라마 세트장
서해랑길 88코스	백미리어촌체험마을
서해랑길 88코스	제부도아트파크
남파랑길 9코스	노산동 가고파거리
남파랑길 9코스	315의거기념비
남파랑길 90코스	우리나라 최남단
서해랑길 90코스	홀곶갯벌체험장
서해랑길 91코스	종현어촌체험마을
서해랑길 95코스	학인에코테마파크
서해랑길 95코스	한국근대문화관
DMZ 평화의 길 1코스	생활상을 가까이
DMZ 평화의 길 1코스	잘 보존된 한강하구 중립수역을 한눈
DMZ 평화의 길 1코스	6.25전쟁
DMZ 평화의 길 1코스	조선 시대 강화해협을 지키는 요새였던 문수산성
DMZ 평화의 길 11코스 	자연제방 위
DMZ 평화의 길 11코스 	자라봉
DMZ 평화의 길 11코스 	조선시대
DMZ 평화의 길 12코스	임진강 본류의 홍수조절 능력 확보를 위해 건립된 단일목적댐, 군남홍수조절지
DMZ 평화의 길 15코스	관우리
DMZ 평화의 길 16코스 (예약노선)	일제강점기
DMZ 평화의 길 18코스	백골상
DMZ 평화의 길 18코스	자누리 와수천을 가로지르는 자누리출렁다리
DMZ 평화의 길 18코스	자누리골 농촌체험휴양마을
DMZ 평화의 길 19코스	인근 지역
DMZ 평화의 길 19-1코스(우회로)	매년 여름 토마토축제를 개최하는 사내문화마을
DMZ 평화의 길 20코스	병풍처럼 깎아지른 기암괴석으로 주변 산중
DMZ 평화의 길 20코스	계성리 마을
DMZ 평화의 길 20코스	한국전쟁 당시 인민군 시설의 면모와 생활상을 알 수 있는, 인민군 사령부 막사
DMZ 평화의 길 2-1코스(우회로)	1866년 병인양요 당시 프랑스군과 전투가 벌어진 역사적 현장 문수산성
DMZ 평화의 길 2-1코스(우회로)	1127년(인종 5)
DMZ 평화의 길 2-1코스(우회로)	가톨릭 교회 통진성당
DMZ 평화의 길 21코스	병풍처럼 깎아지른 듯한 기암괴석, 비래바위
DMZ 평화의 길 21코스	유물인 계성리 석등
DMZ 평화의 길 21코스	인민군 사령부 막사
DMZ 평화의 길 22코스	화천댐 건설 이후 북한강을 건너기 위해 만든 꺼먹다리
DMZ 평화의 길 22코스	화천댐 건설 이후 거대한 호수가 된 파로호
DMZ 평화의 길 22코스	6.25전쟁 때 국군이 중공군의 대공세를 무찌른 전투를 기리는 파로호 안보전시관
DMZ 평화의 길 22코스	역사와 문화를 한눈
DMZ 평화의 길 23코스	과 겨울철
DMZ 평화의 길 23코스	한국전쟁 직후 피난 온 사람들이 정착하여 화전 밭을 일구며 형성된 마을, 비수구미
DMZ 평화의 길 23코스	남북은 물론, 세계 평화를 기원하는 의미를 담아 조성한 국제평화아트파크
DMZ 평화의 길 24코스	분쟁지역
DMZ 평화의 길 24코스	기암절벽이 감싸고 있으며, 차가운 물이 흘러 여름철 피서객이 즐겨 찾는 파서탕
DMZ 평화의 길 25코스	백자로 유명했던 방산 지역의 도자기를 모아 전시한 양구백자박물관
DMZ 평화의 길 25코스	대하천, 수입천
DMZ 평화의 길 25코스	독특한 형태의 암벽과 그 사이로 쏟아지는 물줄기가 절경을 이루는 직연폭포
DMZ 평화의 길 26코스 (예약노선)	국내 최대 열목어 서식지로 알려진 두타연계곡
DMZ 평화의 길 28코스	화채 그릇(Punch Bowl)
DMZ 평화의 길 28코스	통일교육장으로 활용하기 위해 건립된 양구 통일관
DMZ 평화의 길 28코스	비무장지대 안
DMZ 평화의 길 28코스	군사분계선 부근의 최전방 안보 관광지, 을지전망대
DMZ 평화의 길 29코스	6.25전쟁 중 양구 지역
DMZ 평화의 길 30코스 (예약노선)	사계절 농촌 체험 프로그램 농장 및 숙박 시설을 운영하는 피스빌리지
DMZ 평화의 길 30코스 (예약노선)	천연기념물로 지정된 남한 유일의 고층 습지인 대암산 용늪
DMZ 평화의 길 30코스 (예약노선)	금강산의 일부로 여겨지며, 6.25전쟁 당시 요충지로 알려졌던 향로
DMZ 평화의 길 30-1코스(우회로)	사계절 농촌 체험 프로그램 농장 및 숙박 시설을 운영하는 피스빌리지
DMZ 평화의 길 30-1코스(우회로)	용늪마을자연생태학교
DMZ 평화의 길 30-1코스(우회로)	노무현대통령이 말련
DMZ 평화의 길 30-2코스(우회로)	진부령과 미시령
DMZ 평화의 길 30-2코스(우회로)	산봉우리
DMZ 평화의 길 30-2코스(우회로)	수려한 경관이 한눈
